frame,time_sec,lane,vehicle_count,queue_length,density,avg_speed,count_change,category
0,0,east,9,4,3.837,0,9,MEDIUM
5,0.17,east,9,4,4.0246,30.75,0,MEDIUM
10,0.33,east,8,2,2.6975,37.58,1,MEDIUM
15,0.5,east,7,2,2.6093,12.94,1,MEDIUM
20,0.67,east,8,2,2.158,25.26,1,MEDIUM
25,0.83,east,11,0,2.9294,29.74,3,MEDIUM
30,1,east,8,0,2.4823,13.73,3,MEDIUM
35,1.17,east,10,0,3.1797,25.82,2,MEDIUM
40,1.33,east,11,2,3.2445,28.27,1,MEDIUM
45,1.5,east,10,4,4.2169,21.55,1,MEDIUM
50,1.67,east,10,0,3.6405,21.68,0,MEDIUM
55,1.83,east,14,4,4.5509,17.79,4,MEDIUM
60,2,east,13,2,4.2258,38.2,1,MEDIUM
65,2.17,east,15,4,4.3622,33.09,2,MEDIUM
70,2.33,east,14,3,3.7714,33.95,1,MEDIUM
75,2.5,east,14,3,4.2573,26.99,0,MEDIUM
80,2.67,east,16,3,4.4595,32.21,2,HIGH
85,2.83,east,13,2,3.0947,30.82,3,MEDIUM
90,3,east,13,2,3.3713,34.03,0,MEDIUM
95,3.17,east,14,4,3.6172,27.66,1,MEDIUM
100,3.33,east,13,4,3.5205,35.06,1,MEDIUM
105,3.5,east,14,4,3.6838,39.66,1,MEDIUM
110,3.67,east,16,4,3.7599,33.3,2,HIGH
115,3.83,east,14,4,3.9592,28.49,2,MEDIUM
120,4,east,13,0,4.3688,32.57,1,MEDIUM
125,4.17,east,18,8,4.2829,39.03,5,HIGH
130,4.33,east,14,4,3.8571,26.74,4,MEDIUM
135,4.5,east,10,2,2.8372,28.91,4,MEDIUM
140,4.67,east,11,4,2.8707,38.19,1,MEDIUM
145,4.83,east,12,2,4.0187,28.85,1,MEDIUM
150,5,east,12,2,4.1416,26.95,0,MEDIUM
155,5.17,east,12,4,3.1079,33.97,0,MEDIUM
160,5.33,east,15,5,3.8798,25.02,3,MEDIUM
165,5.5,east,18,9,3.3256,21.93,3,HIGH
170,5.67,east,16,6,2.8523,28.14,2,HIGH
175,5.83,east,14,6,2.3732,27.53,2,MEDIUM
180,6,east,17,9,2.5541,30.01,3,HIGH
185,6.17,east,17,10,2.4854,15.32,0,HIGH
190,6.33,east,15,7,2.549,10.25,2,MEDIUM
195,6.5,east,15,9,3.28,17,0,MEDIUM
200,6.67,east,15,6,4.0422,21.53,0,MEDIUM
205,6.83,east,14,6,3.7693,21.07,1,MEDIUM
210,7,east,15,6,3.1954,26.62,1,MEDIUM
215,7.17,east,18,10,4.3445,23.63,3,HIGH
220,7.33,east,16,7,3.8907,20.16,2,HIGH
225,7.5,east,16,5,4.1674,18.74,0,HIGH
230,7.67,east,16,5,2.9876,17.74,0,HIGH
235,7.83,east,16,2,4.1559,20.99,0,HIGH
240,8,east,14,2,2.3349,14.85,2,MEDIUM
245,8.17,east,13,2,1.9155,14.02,1,MEDIUM
250,8.33,east,14,2,3.7457,22.33,1,MEDIUM
255,8.5,east,13,2,3.5437,16.72,1,MEDIUM
260,8.67,east,13,2,3.4645,24.61,0,MEDIUM
265,8.83,east,17,6,4.2806,18.54,4,HIGH
270,9,east,14,5,2.445,20.12,3,MEDIUM
275,9.17,east,16,6,2.903,15.13,2,HIGH
280,9.33,east,15,5,3.3152,17.98,1,MEDIUM
285,9.5,east,17,9,3.5033,21.53,2,HIGH
290,9.67,east,16,9,2.664,27.82,1,HIGH
295,9.83,east,14,7,2.6456,16.8,2,MEDIUM
300,10,east,16,9,3.2921,20.76,2,HIGH
305,10.17,east,17,9,3.0322,21.83,1,HIGH
310,10.33,east,15,7,2.3774,14.31,2,MEDIUM
315,10.5,east,16,9,2.4337,18.04,1,HIGH
320,10.67,east,15,6,2.2938,9.96,1,MEDIUM
325,10.83,east,14,3,2.1295,13.49,1,MEDIUM
330,11,east,13,3,2.2009,17.81,1,MEDIUM
335,11.17,east,13,3,2.1973,15.06,0,MEDIUM
340,11.33,east,13,2,2.1612,12.9,0,MEDIUM
345,11.5,east,15,5,2.2715,29.75,2,MEDIUM
350,11.67,east,15,5,2.2548,14.77,0,MEDIUM
355,11.83,east,12,2,2.1028,17.47,3,MEDIUM
360,12,east,14,4,2.3216,26.01,2,MEDIUM
365,12.17,east,15,2,2.5264,16.17,1,MEDIUM
370,12.33,east,14,2,2.461,15.21,1,MEDIUM
375,12.5,east,16,2,2.4808,26.31,2,HIGH
380,12.67,east,17,4,2.4021,17.93,1,HIGH
385,12.83,east,15,4,1.8723,16.61,2,MEDIUM
390,13,east,13,6,1.7136,15.05,2,MEDIUM
395,13.17,east,14,7,1.9204,17.13,1,MEDIUM
400,13.33,east,16,8,2.2115,18.49,2,HIGH
405,13.5,east,14,5,2.5286,31.41,2,MEDIUM
410,13.67,east,13,2,2.6297,24.09,1,MEDIUM
415,13.83,east,13,2,2.6874,13.78,0,MEDIUM
420,14,east,13,3,2.7975,31.45,0,MEDIUM
425,14.17,east,10,4,2.1363,25.59,3,MEDIUM
430,14.33,east,10,4,2.1681,16.64,0,MEDIUM
435,14.5,east,9,4,1.8065,11.17,1,MEDIUM
440,14.67,east,12,5,1.8206,35.65,3,MEDIUM
445,14.83,east,13,5,1.628,17.18,1,MEDIUM
450,15,east,13,5,1.8117,29.81,0,MEDIUM
455,15.17,east,13,4,1.9643,19.93,0,MEDIUM
460,15.33,east,13,4,2.2054,21.46,0,MEDIUM
465,15.5,east,12,0,2.094,13.95,1,MEDIUM
470,15.67,east,14,4,2.5555,15.76,2,MEDIUM
475,15.83,east,11,0,1.8963,17.3,3,MEDIUM
480,16,east,16,6,3.4145,18.38,5,HIGH
485,16.17,east,11,4,2.9328,21.29,5,MEDIUM
490,16.33,east,13,2,3.0955,15.1,2,MEDIUM
495,16.5,east,15,7,3.7898,27.77,2,MEDIUM
500,16.67,east,12,4,2.7935,18.49,3,MEDIUM
505,16.83,east,11,2,2.5781,24.35,1,MEDIUM
510,17,east,12,2,2.7301,12.71,1,MEDIUM
515,17.17,east,13,4,3.0822,25.87,1,MEDIUM
520,17.33,east,13,2,3.5231,26.5,0,MEDIUM
525,17.5,east,13,4,3.7551,25.76,0,MEDIUM
530,17.67,east,13,4,3.6974,25.83,0,MEDIUM
535,17.83,east,10,4,4.253,32.59,3,MEDIUM
540,18,east,11,4,4.6839,26.52,1,MEDIUM
545,18.17,east,11,2,3.6105,28.41,0,MEDIUM
550,18.33,east,11,2,3.3143,24.61,0,MEDIUM
555,18.5,east,11,5,3.0389,29.08,0,MEDIUM
560,18.67,east,11,4,3.3349,17.53,0,MEDIUM
565,18.83,east,13,4,3.9461,22.72,2,MEDIUM
570,19,east,11,0,4.2282,17.55,2,MEDIUM
575,19.17,east,11,0,4.4957,26.68,0,MEDIUM
580,19.33,east,11,0,4.5857,29.78,0,MEDIUM
585,19.5,east,16,6,5.1559,27.13,5,HIGH
590,19.67,east,15,4,5.2656,15.86,1,MEDIUM
595,19.83,east,13,5,4.9303,26.14,2,MEDIUM
600,20,east,16,4,4.8829,21.63,3,HIGH
605,20.17,east,14,2,4.2387,16.97,2,MEDIUM
610,20.33,east,12,3,1.3741,16.65,2,MEDIUM
615,20.5,east,16,2,4.8438,30.52,4,HIGH
620,20.67,east,17,4,4.7961,21.03,1,HIGH
625,20.83,east,19,8,3.5326,20.01,2,HIGH
630,21,east,14,2,3.1825,21.66,5,MEDIUM
635,21.17,east,18,4,5.1498,23.73,4,HIGH
640,21.33,east,17,4,5.5175,27.44,1,HIGH
645,21.5,east,14,2,5.0792,16.81,3,MEDIUM
650,21.67,east,17,8,5.8247,32.06,3,HIGH
655,21.83,east,18,10,7.2823,24.63,1,HIGH
660,22,east,17,8,7.632,23.53,1,HIGH
665,22.17,east,17,5,5.7205,13.67,0,HIGH
670,22.33,east,16,5,4.8154,20.26,1,HIGH
675,22.5,east,16,5,3.8429,21.86,0,HIGH
680,22.67,east,21,8,4.7661,23.22,5,HIGH
685,22.83,east,20,6,4.5732,21.54,1,HIGH
