frame,time_sec,lane,vehicle_count,queue_length,density,count_change,category,congestion_ratio
0,0.0,north,6,2,2.3752,6,MEDIUM,0.3333
5,0.2,north,5,2,3.235,1,LOW,0.4
10,0.4,north,5,2,2.9122,0,LOW,0.4
15,0.6,north,5,2,2.7078,0,LOW,0.4
20,0.8,north,4,0,2.005,1,LOW,0.0
25,1.0,north,4,0,1.5534,0,LOW,0.0
30,1.2,north,4,2,1.5502,0,LOW,0.5
35,1.4,north,4,0,0.9501,0,LOW,0.0
40,1.6,north,4,0,0.7738,0,LOW,0.0
45,1.8,north,4,2,0.8347,0,LOW,0.5
50,2.0,north,5,0,1.6235,1,LOW,0.0
55,2.2,north,5,0,2.5415,0,LOW,0.0
60,2.4,north,4,0,1.6232,1,LOW,0.0
65,2.6,north,5,0,1.3938,1,LOW,0.0
70,2.8,north,4,0,1.0216,1,LOW,0.0
75,3.0,north,4,0,1.1609,0,LOW,0.0
80,3.2,north,4,0,2.0653,0,LOW,0.0
85,3.4,north,4,2,3.0453,0,LOW,0.5
90,3.6,north,3,0,1.2827,1,LOW,0.0
95,3.8,north,5,0,1.1227,2,LOW,0.0
100,4.0,north,5,0,0.872,0,LOW,0.0
105,4.2,north,3,0,0.5438,2,LOW,0.0
110,4.4,north,3,0,0.5017,0,LOW,0.0
115,4.6,north,4,0,0.5363,1,LOW,0.0
120,4.8,north,4,0,0.4684,0,LOW,0.0
125,5.0,north,4,0,0.4162,0,LOW,0.0
130,5.2,north,3,0,0.3205,1,LOW,0.0
135,5.4,north,4,0,1.0946,1,LOW,0.0
140,5.6,north,3,0,0.2481,1,LOW,0.0
145,5.8,north,4,0,1.9069,1,LOW,0.0
150,6.0,north,4,0,1.3199,0,LOW,0.0
155,6.2,north,4,0,2.2688,0,LOW,0.0
160,6.4,north,5,0,2.7713,1,LOW,0.0
165,6.6,north,5,0,2.0617,0,LOW,0.0
170,6.8,north,4,0,1.4652,1,LOW,0.0
175,7.0,north,4,0,1.1916,0,LOW,0.0
180,7.2,north,5,0,2.4744,1,LOW,0.0
185,7.4,north,5,0,2.4396,0,LOW,0.0
190,7.6,north,6,2,2.9088,1,MEDIUM,0.3333
195,7.8,north,4,0,1.2971,2,LOW,0.0
200,8.0,north,5,2,1.0354,1,LOW,0.4
205,8.2,north,5,2,0.8617,0,LOW,0.4
210,8.4,north,4,0,0.6833,1,LOW,0.0
215,8.6,north,4,0,0.5509,0,LOW,0.0
220,8.8,north,3,0,0.4725,1,LOW,0.0
225,9.0,north,3,0,0.4108,0,LOW,0.0
230,9.2,north,3,0,0.3562,0,LOW,0.0
235,9.4,north,3,0,0.3076,0,LOW,0.0
240,9.6,north,3,0,0.268,0,LOW,0.0
245,9.8,north,3,0,0.2607,0,LOW,0.0
250,10.0,north,4,0,0.2716,1,LOW,0.0
255,10.2,north,3,2,0.2124,1,LOW,0.6667
260,10.4,north,3,2,0.2004,0,LOW,0.6667
265,10.6,north,4,2,1.3571,1,LOW,0.5
270,10.8,north,4,2,1.9687,0,LOW,0.5
275,11.0,north,4,2,1.4712,0,LOW,0.5
280,11.2,north,3,0,1.0477,1,LOW,0.0
285,11.4,north,4,2,0.8203,1,LOW,0.5
290,11.6,north,2,0,0.5783,2,LOW,0.0
295,11.8,north,2,0,0.4797,0,LOW,0.0
300,12.0,north,3,0,0.44,1,LOW,0.0
305,12.2,north,3,0,0.382,0,LOW,0.0
310,12.4,north,2,0,0.2929,1,LOW,0.0
315,12.6,north,2,0,1.3437,0,LOW,0.0
320,12.8,north,3,0,2.018,1,LOW,0.0
325,13.0,north,3,0,1.6657,0,LOW,0.0
330,13.2,north,5,4,8.7721,2,LOW,0.8
335,13.4,north,4,2,6.7901,1,LOW,0.5
340,13.6,north,5,2,7.9249,1,LOW,0.4
345,13.8,north,3,0,8.3359,2,LOW,0.0
350,14.0,north,3,0,9.2216,0,LOW,0.0
355,14.2,north,3,0,7.6862,0,LOW,0.0
360,14.4,north,3,0,6.0524,0,LOW,0.0
365,14.6,north,3,0,4.5073,0,LOW,0.0
370,14.8,north,4,0,5.599,1,LOW,0.0
375,15.0,north,5,2,5.3418,1,LOW,0.4
380,15.2,north,4,0,3.2739,1,LOW,0.0
385,15.4,north,3,0,2.0974,1,LOW,0.0
390,15.6,north,4,0,2.331,1,LOW,0.0
395,15.8,north,4,0,1.9652,0,LOW,0.0
400,16.0,north,5,0,2.6643,1,LOW,0.0
405,16.2,north,5,0,3.1261,0,LOW,0.0
410,16.4,north,5,0,3.1928,0,LOW,0.0
415,16.6,north,5,0,2.64,0,LOW,0.0
420,16.8,north,5,0,2.2367,0,LOW,0.0
425,17.0,north,6,2,2.7603,1,MEDIUM,0.3333
430,17.2,north,5,0,1.7575,1,LOW,0.0
435,17.4,north,5,0,2.1401,0,LOW,0.0
440,17.6,north,5,0,1.3766,0,LOW,0.0
445,17.8,north,7,2,4.8946,2,MEDIUM,0.2857
450,18.0,north,8,2,5.1841,1,MEDIUM,0.25
455,18.2,north,8,2,4.8489,0,MEDIUM,0.25
460,18.4,north,6,0,3.6704,2,MEDIUM,0.0
465,18.6,north,7,0,3.0796,1,MEDIUM,0.0
470,18.8,north,6,0,2.6288,1,MEDIUM,0.0
475,19.0,north,5,0,2.1939,1,LOW,0.0
480,19.2,north,6,0,1.913,1,MEDIUM,0.0
485,19.4,north,7,0,2.3884,1,MEDIUM,0.0
490,19.6,north,7,0,4.1915,0,MEDIUM,0.0
495,19.8,north,7,0,4.6182,0,MEDIUM,0.0
500,20.0,north,7,0,4.1177,0,MEDIUM,0.0
505,20.2,north,7,0,3.406,0,MEDIUM,0.0
510,20.4,north,9,0,4.3609,2,MEDIUM,0.0
515,20.6,north,8,2,2.4361,1,MEDIUM,0.25
520,20.8,north,7,0,3.7366,1,MEDIUM,0.0
525,21.0,north,7,0,3.1832,0,MEDIUM,0.0
530,21.2,north,7,2,2.6499,0,MEDIUM,0.2857
535,21.4,north,7,2,2.3837,0,MEDIUM,0.2857
540,21.6,north,8,2,3.8683,1,MEDIUM,0.25
545,21.8,north,8,2,3.2546,0,MEDIUM,0.25
550,22.0,north,7,2,2.5623,1,MEDIUM,0.2857
555,22.2,north,8,2,2.3673,1,MEDIUM,0.25
560,22.4,north,8,2,2.136,0,MEDIUM,0.25
565,22.6,north,7,0,1.8676,1,MEDIUM,0.0
570,22.8,north,7,0,1.7671,0,MEDIUM,0.0
575,23.0,north,7,0,1.6311,0,MEDIUM,0.0
580,23.2,north,7,0,1.5349,0,MEDIUM,0.0
585,23.4,north,6,0,1.4045,1,MEDIUM,0.0
590,23.6,north,6,0,1.3177,0,MEDIUM,0.0
595,23.8,north,6,0,1.2418,0,MEDIUM,0.0
600,24.0,north,4,0,1.045,2,LOW,0.0
605,24.2,north,6,0,2.2042,2,MEDIUM,0.0
610,24.4,north,5,0,1.0668,1,LOW,0.0
615,24.6,north,6,0,1.0809,1,MEDIUM,0.0
620,24.8,north,6,2,3.0251,0,MEDIUM,0.3333
625,25.0,north,5,2,2.3579,1,LOW,0.4
630,25.2,north,5,2,2.0999,0,LOW,0.4
635,25.4,north,4,2,1.7824,1,LOW,0.5
640,25.6,north,7,2,2.6224,3,MEDIUM,0.2857
645,25.8,north,8,2,6.278,1,MEDIUM,0.25
650,26.0,north,9,4,7.9153,1,MEDIUM,0.4444
655,26.2,north,7,0,7.2243,2,MEDIUM,0.0
660,26.4,north,8,4,6.8786,1,MEDIUM,0.5
665,26.6,north,7,2,5.6547,1,MEDIUM,0.2857
670,26.8,north,7,2,4.6483,0,MEDIUM,0.2857
675,27.0,north,5,0,5.5891,2,LOW,0.0
680,27.2,north,8,2,4.762,3,MEDIUM,0.25
685,27.4,north,9,2,5.0127,1,MEDIUM,0.2222
690,27.6,north,8,0,3.5626,1,MEDIUM,0.0
695,27.8,north,8,0,3.1401,0,MEDIUM,0.0
700,28.0,north,8,2,3.3149,0,MEDIUM,0.25
705,28.2,north,8,2,2.8788,0,MEDIUM,0.25
710,28.4,north,6,0,1.3752,2,MEDIUM,0.0
715,28.6,north,8,0,3.4229,2,MEDIUM,0.0
720,28.8,north,9,2,5.6559,1,MEDIUM,0.2222
725,29.0,north,8,0,3.9049,1,MEDIUM,0.0
730,29.2,north,7,0,3.2068,1,MEDIUM,0.0
735,29.4,north,8,0,3.7627,1,MEDIUM,0.0
740,29.6,north,9,2,6.6767,1,MEDIUM,0.2222
745,29.8,north,7,0,3.7447,2,MEDIUM,0.0
750,30.0,north,10,2,5.3792,3,MEDIUM,0.2
755,30.2,north,9,0,4.8166,1,MEDIUM,0.0
760,30.4,north,11,4,5.4442,2,MEDIUM,0.3636
765,30.6,north,9,2,4.0995,2,MEDIUM,0.2222
770,30.8,north,12,4,5.5502,3,MEDIUM,0.3333
775,31.0,north,12,4,5.7826,0,MEDIUM,0.3333
780,31.2,north,11,2,5.4779,1,MEDIUM,0.1818
785,31.4,north,9,0,4.5374,2,MEDIUM,0.0
790,31.6,north,12,2,4.1921,3,MEDIUM,0.1667
795,31.8,north,9,2,4.1535,3,MEDIUM,0.2222
800,32.0,north,9,2,3.3615,0,MEDIUM,0.2222
805,32.2,north,9,2,3.7557,0,MEDIUM,0.2222
810,32.4,north,8,0,2.7919,1,MEDIUM,0.0
815,32.6,north,11,2,3.4542,3,MEDIUM,0.1818
820,32.8,north,7,0,2.457,4,MEDIUM,0.0
825,33.0,north,9,0,2.3946,2,MEDIUM,0.0
830,33.2,north,11,0,5.3474,2,MEDIUM,0.0
835,33.4,north,10,2,6.9928,1,MEDIUM,0.2
840,33.6,north,12,2,7.6102,2,MEDIUM,0.1667
845,33.8,north,10,2,8.3891,2,MEDIUM,0.2
850,34.0,north,10,2,8.168,0,MEDIUM,0.2
855,34.2,north,10,2,8.59,0,MEDIUM,0.2
860,34.4,north,10,2,9.2367,0,MEDIUM,0.2
865,34.6,north,10,0,9.7023,0,MEDIUM,0.0
870,34.8,north,11,2,9.702,1,MEDIUM,0.1818
875,35.0,north,10,0,8.5696,1,MEDIUM,0.0
880,35.2,north,11,2,7.7387,1,MEDIUM,0.1818
885,35.4,north,13,4,8.38,2,MEDIUM,0.3077
890,35.6,north,12,2,8.2713,1,MEDIUM,0.1667
895,35.8,north,11,0,7.5105,1,MEDIUM,0.0
900,36.0,north,12,4,6.8539,1,MEDIUM,0.3333
905,36.2,north,12,2,6.3601,0,MEDIUM,0.1667
910,36.4,north,13,4,6.1623,1,MEDIUM,0.3077
915,36.6,north,14,6,6.9038,1,MEDIUM,0.4286
920,36.8,north,14,6,8.9171,0,MEDIUM,0.4286
925,37.0,north,16,10,7.6166,2,HIGH,0.625
930,37.2,north,14,4,7.2663,2,MEDIUM,0.2857
935,37.4,north,14,5,7.2498,0,MEDIUM,0.3571
940,37.6,north,13,5,7.0226,1,MEDIUM,0.3846
945,37.8,north,12,2,6.8028,1,MEDIUM,0.1667
950,38.0,north,13,4,7.4735,1,MEDIUM,0.3077
955,38.2,north,12,2,5.8376,1,MEDIUM,0.1667
960,38.4,north,11,3,5.3525,1,MEDIUM,0.2727
965,38.6,north,12,2,5.8126,1,MEDIUM,0.1667
970,38.8,north,11,2,5.0219,1,MEDIUM,0.1818
975,39.0,north,13,4,5.4357,2,MEDIUM,0.3077
980,39.2,north,12,2,4.6728,1,MEDIUM,0.1667
985,39.4,north,11,2,4.1185,1,MEDIUM,0.1818
990,39.6,north,13,2,4.7094,2,MEDIUM,0.1538
995,39.8,north,11,4,6.332,2,MEDIUM,0.3636
1000,40.0,north,14,5,6.6014,3,MEDIUM,0.3571
1005,40.2,north,14,6,6.6079,0,MEDIUM,0.4286
1010,40.4,north,13,6,6.9277,1,MEDIUM,0.4615
1015,40.6,north,14,4,6.1778,1,MEDIUM,0.2857
1020,40.8,north,15,4,5.9868,1,MEDIUM,0.2667
1025,41.0,north,15,6,5.3758,0,MEDIUM,0.4
1030,41.2,north,12,4,4.652,3,MEDIUM,0.3333
1035,41.4,north,14,4,4.7138,2,MEDIUM,0.2857
1040,41.6,north,13,2,5.1922,1,MEDIUM,0.1538
1045,41.8,north,13,2,6.1148,0,MEDIUM,0.1538
1050,42.0,north,14,4,6.3147,1,MEDIUM,0.2857
1055,42.2,north,14,4,6.8248,0,MEDIUM,0.2857
1060,42.4,north,10,0,4.44,4,MEDIUM,0.0
1065,42.6,north,8,0,3.8166,2,MEDIUM,0.0
1070,42.8,north,10,0,5.1864,2,MEDIUM,0.0
1075,43.0,north,10,0,5.7475,0,MEDIUM,0.0
1080,43.2,north,9,0,5.0739,1,MEDIUM,0.0
1085,43.4,north,9,0,4.6469,0,MEDIUM,0.0
1090,43.6,north,10,0,4.653,1,MEDIUM,0.0
1095,43.8,north,10,0,4.719,0,MEDIUM,0.0
1100,44.0,north,10,0,4.3912,0,MEDIUM,0.0
1105,44.2,north,10,0,3.8871,0,MEDIUM,0.0
1110,44.4,north,7,0,2.9426,3,MEDIUM,0.0
1115,44.6,north,7,0,2.8203,0,MEDIUM,0.0
1120,44.8,north,5,0,2.4804,2,LOW,0.0
1125,45.0,north,8,0,3.0478,3,MEDIUM,0.0
1130,45.2,north,8,0,2.8385,0,MEDIUM,0.0
1135,45.4,north,9,0,3.0786,1,MEDIUM,0.0
1140,45.6,north,9,0,3.0227,0,MEDIUM,0.0
1145,45.8,north,8,0,2.8483,1,MEDIUM,0.0
1150,46.0,north,7,2,2.1622,1,MEDIUM,0.2857
1155,46.2,north,8,2,2.7564,1,MEDIUM,0.25
1160,46.4,north,5,0,1.6812,3,LOW,0.0
1165,46.6,north,6,0,1.8417,1,MEDIUM,0.0
1170,46.8,north,7,0,1.8018,1,MEDIUM,0.0
1175,47.0,north,7,0,1.6867,0,MEDIUM,0.0
1180,47.2,north,7,0,1.5762,0,MEDIUM,0.0
1185,47.4,north,7,0,1.5477,0,MEDIUM,0.0
1190,47.6,north,6,0,1.3211,1,MEDIUM,0.0
