frame,time_sec,lane,vehicle_count,queue_length,density,count_change,category,congestion_ratio
0,0.0,traffic4,10,0,5.8365,10,MEDIUM,0.0
5,0.2,traffic4,10,0,6.0442,0,MEDIUM,0.0
10,0.4,traffic4,10,0,6.1274,0,MEDIUM,0.0
15,0.6,traffic4,12,0,7.1472,2,MEDIUM,0.0
20,0.8,traffic4,10,0,6.0206,2,MEDIUM,0.0
25,1.0,traffic4,10,0,5.8833,0,MEDIUM,0.0
30,1.2,traffic4,11,0,6.4887,1,MEDIUM,0.0
35,1.4,traffic4,13,2,6.6916,2,MEDIUM,0.1538
40,1.6,traffic4,13,2,6.1781,0,MEDIUM,0.1538
45,1.8,traffic4,12,2,6.3595,1,MEDIUM,0.1667
50,2.0,traffic4,9,2,4.7279,3,MEDIUM,0.2222
55,2.2,traffic4,10,0,6.4629,1,MEDIUM,0.0
60,2.4,traffic4,8,0,5.6906,2,MEDIUM,0.0
65,2.6,traffic4,9,0,6.4555,1,MEDIUM,0.0
70,2.8,traffic4,8,0,6.4196,1,MEDIUM,0.0
75,3.0,traffic4,7,0,6.3572,1,MEDIUM,0.0
80,3.2,traffic4,11,0,6.3368,4,MEDIUM,0.0
85,3.4,traffic4,8,0,6.8888,3,MEDIUM,0.0
90,3.6,traffic4,8,0,7.2683,0,MEDIUM,0.0
95,3.8,traffic4,8,0,4.7746,0,MEDIUM,0.0
100,4.0,traffic4,7,0,4.4276,1,MEDIUM,0.0
105,4.2,traffic4,7,0,5.1499,0,MEDIUM,0.0
110,4.4,traffic4,7,2,7.9862,0,MEDIUM,0.2857
115,4.6,traffic4,8,0,7.9571,1,MEDIUM,0.0
120,4.8,traffic4,4,0,4.9053,4,LOW,0.0
125,5.0,traffic4,6,0,6.7122,2,MEDIUM,0.0
130,5.2,traffic4,7,0,6.2624,1,MEDIUM,0.0
135,5.4,traffic4,8,0,7.9361,1,MEDIUM,0.0
140,5.6,traffic4,5,0,6.1993,3,LOW,0.0
145,5.8,traffic4,10,0,9.7633,5,MEDIUM,0.0
150,6.0,traffic4,9,0,9.2434,1,MEDIUM,0.0
155,6.2,traffic4,10,2,10.2347,1,MEDIUM,0.2
160,6.4,traffic4,10,0,11.0763,0,MEDIUM,0.0
165,6.6,traffic4,8,0,10.4771,2,MEDIUM,0.0
170,6.8,traffic4,10,0,10.0837,2,MEDIUM,0.0
175,7.0,traffic4,10,0,11.0107,0,MEDIUM,0.0
180,7.2,traffic4,9,0,9.751,1,MEDIUM,0.0
185,7.4,traffic4,8,0,10.2748,1,MEDIUM,0.0
190,7.6,traffic4,9,0,11.2326,1,MEDIUM,0.0
195,7.8,traffic4,8,0,10.3158,1,MEDIUM,0.0
200,8.0,traffic4,7,0,9.7206,1,MEDIUM,0.0
205,8.2,traffic4,7,0,9.7099,0,MEDIUM,0.0
210,8.4,traffic4,7,0,9.7063,0,MEDIUM,0.0
215,8.6,traffic4,7,0,9.6913,0,MEDIUM,0.0
220,8.8,traffic4,9,0,9.0274,2,MEDIUM,0.0
225,9.0,traffic4,6,0,6.5187,3,MEDIUM,0.0
230,9.2,traffic4,8,0,7.1706,2,MEDIUM,0.0
235,9.4,traffic4,10,2,8.063,2,MEDIUM,0.2
240,9.6,traffic4,9,0,8.4914,1,MEDIUM,0.0
245,9.8,traffic4,9,0,4.2534,0,MEDIUM,0.0
250,10.0,traffic4,9,0,5.8299,0,MEDIUM,0.0
255,10.2,traffic4,9,0,6.1205,0,MEDIUM,0.0
260,10.4,traffic4,14,0,8.9841,5,MEDIUM,0.0
265,10.6,traffic4,14,0,6.8374,0,MEDIUM,0.0
270,10.8,traffic4,13,0,7.4258,1,MEDIUM,0.0
275,11.0,traffic4,9,0,5.5049,4,MEDIUM,0.0
280,11.2,traffic4,11,0,5.3582,2,MEDIUM,0.0
285,11.4,traffic4,13,0,6.195,2,MEDIUM,0.0
290,11.6,traffic4,14,0,9.4069,1,MEDIUM,0.0
295,11.8,traffic4,15,0,10.8615,1,MEDIUM,0.0
300,12.0,traffic4,16,2,12.6412,1,HIGH,0.125
