frame,time_sec,lane,vehicle_count,queue_length,density,avg_speed,count_change,category
0,0.0,traffic7,23,9,4.7838,0.0,23,HIGH
5,0.17,traffic7,21,4,4.5536,11.79,2,HIGH
10,0.33,traffic7,21,6,4.2438,7.26,0,HIGH
15,0.5,traffic7,23,9,4.812,13.87,2,HIGH
20,0.67,traffic7,22,8,4.6996,7.75,1,HIGH
25,0.83,traffic7,24,7,4.9518,14.25,2,HIGH
30,1.0,traffic7,23,7,4.5626,13.02,1,HIGH
35,1.17,traffic7,24,8,5.2595,14.28,1,HIGH
40,1.33,traffic7,25,5,5.1317,11.79,1,HIGH
45,1.5,traffic7,27,11,5.5219,18.01,2,HIGH
50,1.67,traffic7,27,11,5.5359,6.01,0,HIGH
55,1.83,traffic7,26,10,5.1835,14.01,1,HIGH
60,2.0,traffic7,24,8,5.0735,9.27,2,HIGH
65,2.17,traffic7,22,7,4.7192,10.12,2,HIGH
70,2.33,traffic7,25,10,5.0113,13.85,3,HIGH
75,2.5,traffic7,26,8,5.2338,15.65,1,HIGH
80,2.67,traffic7,25,7,5.2205,5.88,1,HIGH
85,2.84,traffic7,25,7,4.9943,13.1,0,HIGH
90,3.0,traffic7,24,7,4.7902,10.24,1,HIGH
95,3.17,traffic7,22,5,4.5962,12.11,2,HIGH
100,3.34,traffic7,24,9,4.6259,14.92,2,HIGH
105,3.5,traffic7,26,9,4.7677,18.82,2,HIGH
110,3.67,traffic7,26,10,4.7604,11.36,0,HIGH
115,3.84,traffic7,25,8,4.4266,7.12,1,HIGH
120,4.0,traffic7,22,7,3.9283,5.21,3,HIGH
125,4.17,traffic7,24,9,4.067,15.69,2,HIGH
130,4.34,traffic7,26,11,4.4902,10.37,2,HIGH
135,4.5,traffic7,27,9,4.8418,10.38,1,HIGH
140,4.67,traffic7,28,13,5.0025,7.92,1,HIGH
145,4.84,traffic7,27,12,4.9874,10.82,1,HIGH
150,5.0,traffic7,27,12,5.2586,7.67,0,HIGH
155,5.17,traffic7,27,13,5.4228,14.24,0,HIGH
160,5.34,traffic7,25,12,5.1599,8.11,2,HIGH
165,5.5,traffic7,23,11,4.9606,8.3,2,HIGH
170,5.67,traffic7,22,11,4.601,5.97,1,HIGH
175,5.84,traffic7,25,13,4.8971,15.62,3,HIGH
180,6.0,traffic7,27,15,5.4955,10.54,2,HIGH
185,6.17,traffic7,28,16,5.7462,11.74,1,HIGH
190,6.34,traffic7,27,13,5.3716,8.66,1,HIGH
195,6.5,traffic7,28,15,4.847,14.57,1,HIGH
200,6.67,traffic7,27,11,4.6103,11.8,1,HIGH
205,6.84,traffic7,27,11,4.378,9.68,0,HIGH
210,7.0,traffic7,26,11,4.405,5.95,1,HIGH
215,7.17,traffic7,27,11,4.6737,10.61,1,HIGH
220,7.34,traffic7,27,11,5.1155,6.83,0,HIGH
225,7.5,traffic7,26,11,4.7703,17.92,1,HIGH
230,7.67,traffic7,25,11,4.5146,6.41,1,HIGH
235,7.84,traffic7,27,13,4.6059,17.4,2,HIGH
240,8.0,traffic7,25,12,4.2632,5.92,2,HIGH
