frame,time_sec,lane,vehicle_count,queue_length,density,avg_speed,count_change
0,0.0,traffic8,14,2,3.6103,0.0,14
5,0.17,traffic8,15,2,3.8555,0.0,1
10,0.33,traffic8,12,0,3.3601,0.0,3
15,0.5,traffic8,12,0,3.4212,0.0,0
20,0.67,traffic8,13,0,3.4376,0.0,1
25,0.83,traffic8,14,0,3.9061,0.0,1
30,1.0,traffic8,15,0,3.8571,0.0,1
35,1.17,traffic8,15,2,3.9518,0.0,0
40,1.33,traffic8,14,0,3.982,0.0,1
45,1.5,traffic8,14,4,3.9224,0.0,0
50,1.67,traffic8,15,4,4.1157,0.0,1
55,1.83,traffic8,15,4,3.9966,0.0,0
60,2.0,traffic8,17,4,4.208,0.0,2
65,2.17,traffic8,15,4,4.0955,0.0,2
70,2.33,traffic8,17,6,4.2734,0.0,2
75,2.5,traffic8,16,2,4.1776,0.0,1
80,2.66,traffic8,13,0,2.5372,4.63,3
85,2.83,traffic8,11,0,2.4522,5.48,2
90,3.0,traffic8,15,2,2.7628,0.0,4
95,3.16,traffic8,13,0,3.4906,0.0,2
100,3.33,traffic8,12,4,3.1561,0.0,1
105,3.5,traffic8,12,2,2.5809,0.0,0
110,3.66,traffic8,13,2,2.5738,0.0,1
115,3.83,traffic8,13,2,3.0227,0.0,0
120,4.0,traffic8,14,4,3.053,0.0,1
125,4.16,traffic8,16,4,3.5703,0.0,2
130,4.33,traffic8,15,4,3.3851,0.0,1
135,4.5,traffic8,14,2,3.2214,0.0,1
140,4.66,traffic8,16,2,3.3253,0.0,2
145,4.83,traffic8,14,2,2.9935,0.0,2
150,5.0,traffic8,14,0,3.1221,0.0,0
155,5.16,traffic8,16,2,2.9566,0.0,2
160,5.33,traffic8,17,0,3.7334,0.0,1
165,5.5,traffic8,16,4,3.2612,0.0,1
170,5.66,traffic8,18,6,3.6535,0.0,2
175,5.83,traffic8,17,6,3.5025,0.0,1
180,6.0,traffic8,17,5,3.6317,0.0,0
185,6.16,traffic8,16,4,3.5269,0.0,1
190,6.33,traffic8,16,7,3.4209,0.0,0
195,6.5,traffic8,17,6,3.5127,0.0,1
200,6.66,traffic8,17,7,3.6642,0.0,0
205,6.83,traffic8,18,8,3.6867,0.0,1
210,7.0,traffic8,19,8,3.9615,0.0,1
215,7.16,traffic8,18,6,4.0294,0.0,1
220,7.33,traffic8,17,4,4.8006,0.0,1
225,7.49,traffic8,19,4,4.8969,0.0,2
230,7.66,traffic8,18,4,5.2372,0.0,1
235,7.83,traffic8,19,4,5.2891,0.0,1
240,7.99,traffic8,18,4,5.1589,0.0,1
245,8.16,traffic8,17,4,4.9107,0.0,1
250,8.33,traffic8,13,0,3.6487,0.0,4
255,8.49,traffic8,16,2,4.7321,0.0,3
260,8.66,traffic8,19,0,4.742,0.0,3
265,8.83,traffic8,18,2,4.7459,0.0,1
270,8.99,traffic8,19,6,4.7072,0.0,1
275,9.16,traffic8,20,6,4.4956,0.0,1
280,9.33,traffic8,21,6,4.5905,0.0,1
285,9.49,traffic8,19,6,4.2618,0.0,2
290,9.66,traffic8,19,6,4.0212,0.0,0
295,9.83,traffic8,20,6,4.0377,0.0,1
300,9.99,traffic8,19,4,4.0515,0.0,1
305,10.16,traffic8,17,4,3.0971,0.0,2
310,10.33,traffic8,19,6,3.5575,0.0,2
315,10.49,traffic8,21,7,5.3172,0.0,2
320,10.66,traffic8,20,6,3.7407,0.0,1
325,10.83,traffic8,19,5,2.5514,0.0,1
330,10.99,traffic8,19,6,2.5921,0.0,0
335,11.16,traffic8,20,7,3.8821,0.0,1
340,11.33,traffic8,19,4,3.7694,0.0,1
345,11.49,traffic8,18,2,3.5313,0.0,1
350,11.66,traffic8,20,2,3.6846,0.0,2
355,11.83,traffic8,19,2,3.509,0.0,1
360,11.99,traffic8,18,2,3.3973,0.0,1
365,12.16,traffic8,16,2,3.2673,0.0,2
370,12.33,traffic8,17,4,3.1243,0.0,1
375,12.49,traffic8,17,6,3.0361,0.0,0
380,12.66,traffic8,19,5,3.0974,0.0,2
385,12.82,traffic8,17,6,3.6115,0.0,2
390,12.99,traffic8,19,6,3.7906,0.0,2
395,13.16,traffic8,20,4,5.0151,0.0,1
400,13.32,traffic8,20,4,4.9163,0.0,0
405,13.49,traffic8,20,6,4.9752,0.0,0
410,13.66,traffic8,19,4,4.7368,0.0,1
415,13.82,traffic8,21,6,4.5503,0.0,2
420,13.99,traffic8,19,4,3.6882,0.0,2
425,14.16,traffic8,17,4,3.9212,0.0,2
430,14.32,traffic8,18,7,3.7977,0.0,1
435,14.49,traffic8,14,0,3.3991,0.0,4
440,14.66,traffic8,14,0,3.2559,0.0,0
445,14.82,traffic8,15,0,2.6663,3.34,1
450,14.99,traffic8,14,3,2.216,0.0,1
455,15.16,traffic8,14,3,2.4512,0.0,0
460,15.32,traffic8,15,5,2.4395,0.0,1
465,15.49,traffic8,11,2,1.5225,4.78,4
470,15.66,traffic8,12,3,1.6537,0.0,1
475,15.82,traffic8,15,7,1.8343,0.0,3
480,15.99,traffic8,14,5,1.9535,0.0,1
485,16.16,traffic8,13,2,2.1209,0.0,1
490,16.32,traffic8,11,2,2.1634,0.0,2
495,16.49,traffic8,11,2,2.082,0.0,0
500,16.66,traffic8,14,5,2.6026,0.0,3
505,16.82,traffic8,12,2,2.153,0.0,2
510,16.99,traffic8,12,2,2.5153,0.0,0
515,17.16,traffic8,10,3,1.8062,0.0,2
520,17.32,traffic8,10,2,1.8287,1.71,0
525,17.49,traffic8,10,0,1.9148,10.85,0
530,17.65,traffic8,10,0,1.8898,11.1,0
535,17.82,traffic8,11,0,1.9442,10.56,1
540,17.99,traffic8,10,0,1.801,11.99,1
545,18.15,traffic8,11,0,1.7769,12.23,1
550,18.32,traffic8,12,2,3.1511,0.0,1
555,18.49,traffic8,13,0,3.2556,0.0,1
560,18.65,traffic8,12,0,3.1363,0.0,1
565,18.82,traffic8,12,0,3.1129,0.0,0
570,18.99,traffic8,10,0,3.0792,0.0,2
575,19.15,traffic8,11,2,4.6726,0.0,1
580,19.32,traffic8,10,2,3.1385,0.0,1
585,19.49,traffic8,11,2,3.1494,0.0,1
590,19.65,traffic8,11,2,3.9926,0.0,0
595,19.82,traffic8,10,0,2.7015,2.99,1
