frame,time_sec,lane,vehicle_count,queue_length,density,count_change,category,congestion_ratio
0,0.0,west,13,6,2.2668,13,MEDIUM,0.4615
5,0.17,west,19,7,3.1089,6,HIGH,0.3684
10,0.33,west,16,7,1.8703,3,HIGH,0.4375
15,0.5,west,20,7,2.6717,4,HIGH,0.35
20,0.67,west,19,8,3.2807,1,HIGH,0.4211
25,0.83,west,14,4,2.4165,5,MEDIUM,0.2857
30,1.0,west,18,4,3.2558,4,HIGH,0.2222
35,1.17,west,17,3,3.6244,1,HIGH,0.1765
40,1.33,west,18,2,4.0461,1,HIGH,0.1111
45,1.5,west,16,2,3.2838,2,HIGH,0.125
50,1.67,west,16,3,2.8394,0,HIGH,0.1875
55,1.83,west,17,8,3.2641,1,HIGH,0.4706
60,2.0,west,15,6,2.7534,2,MEDIUM,0.4
65,2.17,west,17,7,2.8222,2,HIGH,0.4118
70,2.33,west,18,6,3.7013,1,HIGH,0.3333
75,2.5,west,17,7,3.9866,1,HIGH,0.4118
80,2.67,west,20,9,4.5921,3,HIGH,0.45
85,2.83,west,16,2,3.3551,4,HIGH,0.125
90,3.0,west,15,2,3.1459,1,MEDIUM,0.1333
95,3.17,west,14,2,2.67,1,MEDIUM,0.1429
100,3.33,west,15,2,3.0575,1,MEDIUM,0.1333
105,3.5,west,14,2,2.9705,1,MEDIUM,0.1429
110,3.67,west,16,4,3.1402,2,HIGH,0.25
115,3.83,west,13,3,3.3082,3,MEDIUM,0.2308
120,4.0,west,15,3,3.6459,2,MEDIUM,0.2
125,4.17,west,13,0,3.4925,2,MEDIUM,0.0
130,4.33,west,12,2,3.2599,1,MEDIUM,0.1667
135,4.5,west,12,3,3.2595,0,MEDIUM,0.25
140,4.67,west,13,3,3.0702,1,MEDIUM,0.2308
145,4.83,west,12,2,3.3333,1,MEDIUM,0.1667
150,5.0,west,12,5,1.9267,0,MEDIUM,0.4167
155,5.17,west,14,7,2.3702,2,MEDIUM,0.5
160,5.33,west,10,2,1.4112,4,MEDIUM,0.2
165,5.5,west,12,4,2.2248,2,MEDIUM,0.3333
170,5.67,west,9,4,2.3892,3,MEDIUM,0.4444
175,5.83,west,11,4,3.0255,2,MEDIUM,0.3636
180,6.0,west,17,5,4.1458,6,HIGH,0.2941
185,6.17,west,10,0,2.2271,7,MEDIUM,0.0
190,6.33,west,12,4,1.9832,2,MEDIUM,0.3333
195,6.5,west,13,5,2.7875,1,MEDIUM,0.3846
200,6.67,west,11,4,1.3769,2,MEDIUM,0.3636
205,6.83,west,12,2,2.2215,1,MEDIUM,0.1667
210,7.0,west,15,4,2.4136,3,MEDIUM,0.2667
215,7.17,west,16,7,2.8193,1,HIGH,0.4375
220,7.33,west,15,2,3.01,1,MEDIUM,0.1333
225,7.5,west,18,8,3.4887,3,HIGH,0.4444
230,7.67,west,17,6,3.5081,1,HIGH,0.3529
235,7.83,west,20,8,4.0168,3,HIGH,0.4
240,8.0,west,20,7,4.5952,0,HIGH,0.35
245,8.17,west,19,2,4.0899,1,HIGH,0.1053
